物料编码,物料名称,周期,MOQ,MPQ
10.02.01.061,304不锈钢十字盘头螺钉,30,10,1
10.02.01.059,杯头内六角组合钉,30,100,1
10.02.01.058,内六角顶丝,30,500,1
10.02.01.057,十字槽沉头螺钉,30,50,1
10.02.01.056,顶丝,10,1,1
10.02.01.055,内六角圆柱头螺钉,30,1000,1
10.02.01.054,内六角顶丝,30,500,1
10.02.01.053,内六角圆柱头螺钉,30,1000,1
10.02.01.051,内六角圆柱头螺钉,30,1000,1
10.02.01.050,内六角圆柱头螺钉,30,1000,1
10.02.01.049,内六角组合螺钉,30,1000,1
10.02.01.048,内六角圆柱头螺钉,30,1000,1
10.02.01.047,内梅花圆头螺钉,30,1000,1
10.02.01.046,十字槽盘头螺钉,30,1000,1
10.02.01.045,梅花槽圆柱头螺钉,30,1000,1
10.02.01.044,内六角圆柱头螺钉,30,1000,1
10.02.01.043,内六角组合螺钉,30,1000,1
10.02.01.042,内六角圆柱头螺丝,30,1000,1
10.02.01.041,十字槽盘头螺钉,30,200,1
10.02.01.041,十字槽盘头螺钉,30,200,1
10.02.01.040,十字槽盘头螺钉,30,5000,1
10.02.01.039,十字槽沉头螺钉,30,500,1
10.02.01.038,十字槽盘头螺钉,30,5000,1
10.02.01.037,十字槽盘头螺钉,30,3000,1
10.02.01.034,十字槽小盘头螺钉,30,3000,1
10.02.01.024,十字槽盘头螺钉,30,100,1
10.02.01.022,十字槽盘头螺钉,30,150,1
10.02.01.073,十字槽盘头螺钉,30,5000,100
10.04.03.058,PIN管,30,3000,3000
10.04.02.150,贴片电容,30,10000,10000
