物料编码,物料名称,产品类型,工序1_max,工序1min,工序2_max,工序2min,工序3_max,工序3min,工序4_max,工序4min,工序5_max,工序5min,工序6_max,工序6min,工序7_max,工序7min,工序8_max,工序8min,工序9_max,工序9min,工序10_max,工序10_min
13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,MINI-S,1,1,1,1,1,1,1,1,,,1,1,,,,,1,1,3,1
13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,MINI-S,1,1,1,1,,,1,1,,,1,1,1,1,,,1,1,2,1
13.01.07.001,TF-luna(标品/单品包装)-V1.0,LUNA,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,2,1
13.01.07.002,TF-luna(标品/整箱包装)-V1.0,LUNA,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,2,1
13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,PLUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1
13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,PLUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
