code,product_name,工序1,工序2,工序3,工序4,工序5,工序6,工序7,工序8,测试,包装
13.01.04.041,TFmini-S-V1.8.1(单品包装)-V1.0,2.28,3.42,7.98,13.68,,12.54,,,40.75,77.31
13.01.04.042,TFmini-S-V1.8.1(整箱包装)-V1.0,2.28,3.42,,7.98,,13.68,12.54,,40.75,6
13.01.07.001,TF-luna(标品/单品包装)-V1.0,1.16,4.1,5.13,10.83,,,,9.69,24,36.98
13.01.07.002,TF-luna(标品/整箱包装)-V1.0,1.16,4.1,5.13,10.83,9.69,,,,24,2
13.01.08.005,TFmini Plus-2400标品(单品包装)-V1.0,2.85,6.73,10.83,10.15,11.4,6.84,11.4,13.68,79.66,103.5
13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,2.85,6.73,10.83,10.15,11.4,6.84,11.4,13.68,79.66,43.3
