任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
141,ID798,13.01.07.001,TF-luna(标品/单品包装)-V1.0,测试,747,9:0,14:54
142,ID797,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,548,14:54,19:0
142,ID797,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2716,9:0,18:9
143,ID865,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,14,18:9,19:0
132,ID981,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,593,9:0,19:0
142,ID797,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2752,9:0,18:15
142,ID797,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2752,9:0,18:15
143,ID865,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,13,18:15,19:0
143,ID865,13.01.05.018,TF03-485(整箱包装)-V1.1,组装,13,18:15,19:0
