任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,143,9:0,18:36
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,141,18:36,19:0
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,148,9:0,19:0
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,148,9:0,19:0
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,255,9:0,19:0
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,148,9:0,19:0
