任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,13:54,14:45
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,44,9:0,10:18
44,ID118,13.01.09.003,TF350-232(单品包装)-V1.0,包装,20,10:27,10:45
45,ID40,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,测试,100,16:21,18:6
48,ID173,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,11:15,13:0
83,ID343,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,10:45,11:12
83,ID343,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,测试,100,14:45,16:12
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,13:54,14:45
44,ID118,13.01.09.003,TF350-232(单品包装)-V1.0,组装,10,9:0,9:27
44,ID118,13.01.09.003,TF350-232(单品包装)-V1.0,测试,20,9:27,10:36
45,ID40,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,包装,100,16:51,18:12
48,ID173,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,11:15,13:0
83,ID343,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,10:36,11:3
83,ID343,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,15:33,16:18
7,SCDD2023091557,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,717,9:0,14:42
21,ID89,13.01.07.008,TF-Luna-ASU,测试,579,14:42,19:0
4,SCDD2023091551,13.01.02.026,TF02-Pro-W(整箱包装)-V1.0,包装,315,9:0,10:21
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,测试,100,10:21,14:42
45,ID40,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,组装,100,14:42,17:27
94,ID344,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,35,17:27,19:0
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,30,9:0,09:54
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,包装,100,13:45,14:51
44,ID118,13.01.09.003,TF350-232(单品包装)-V1.0,包装,20,10:27,10:45
45,ID40,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,包装,100,16:51,18:12
48,ID173,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,11:15,13:0
83,ID343,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,09:54,10:21
83,ID343,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,组装,100,10:45,11:12
83,ID343,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,15:33,16:18
94,ID344,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,26,18:12,19:0
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,49,9:0,10:27
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,包装,100,13:45,14:51
48,ID173,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,测试,100,10:27,11:54
48,ID173,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,11:54,13:39
83,ID343,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,15:33,16:18
83,ID343,13.01.08.007,TFmini Plus-2400-IC(单品包装)-V1.0,包装,100,16:18,17:3
94,ID344,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,48,17:3,19:0
32,ID80,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,40,9:0,10:12
45,ID40,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,组装,100,10:12,13:57
45,ID40,13.01.04.056,TFmini-i-CAN-2m散线-V1.1,组装,100,13:57,16:42
94,ID344,13.01.02.038,TF02-Pro-W-485(单品包装)-V1.0,组装,60,16:42,19:0
