任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
28,ID84,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,17:18,18:39
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,20,9:0,10:6
28,ID84,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,包装,3000,17:18,18:39
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,20,9:0,10:6
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,测试,44,9:0,10:27
54,ID224,13.01.07.001,TF-luna(标品/单品包装)-V1.0,测试,60,18:36,19:0
28,ID84,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1234,9:0,18:36
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,107,9:0,10:36
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,包装,120,09:39,11:27
46,ID149,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,12,9:0,09:39
