任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1648,9:0,14:39
60,ID134,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,7,18:33,19:0
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,1295,9:0,19:0
60,ID134,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,97,9:0,15:33
56,ID232,13.01.07.008,TF-Luna-ASU,包装,411,18:39,19:0
60,ID134,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,66,14:39,19:0
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2852,9:0,18:33
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,2888,9:0,18:39
60,ID134,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,51,15:33,19:0
