任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,3011,9:0,19:0
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,54,9:0,13:0
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,测试,822,13:6,19:0
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,55,9:0,13:6
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,480,13:27,15:18
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,包装,480,15:18,17:9
60,ID134,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,23,17:9,19:0
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,测试,104,9:0,13:27
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1948,13:0,19:0
55,ID46,13.01.07.002,TF-luna(标品/整箱包装)-V1.0,组装,1912,13:6,19:0
53,ID184,13.01.05.017,TF03-UART(整箱包装)-V1.1,组装,55,9:0,13:6
