任务号,任务来源ID,物料编码,物料名称,对应工序,所做数量,开始时间,结束时间
120,ID637,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,120,09:33,17:27
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,测试,593,9:0,19:0
116,ID597,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,1171,9:0,16:3
121,ID698,13.01.07.001,TF-luna(标品/单品包装)-V1.0,组装,370,17:27,19:0
116,ID597,13.01.07.001,TF-luna(标品/单品包装)-V1.0,包装,1191,9:0,16:9
120,ID637,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,120,10:36,19:0
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,130,9:0,09:33
120,ID637,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,42,16:3,19:0
117,ID647,13.01.08.006,TFmini Plus-2400标品(整箱包装)-V1.0,组装,378,9:0,10:36
120,ID637,13.01.05.005,TF03-UART(单品包装)-V1.1,组装,40,16:9,19:0
